Dataset,Solver,WarmStart,C,Rho,Method,Seed,Objective,Accuracy,AUC,F1,ScreeningRate,Time,ScreenTime,Iterations,Status
svmguide1,SCS,False,0.05,0.0,Screening,11,38.80775899,0.88673139,0.95087156,0.91183879,0.57995951,0.11698508,0.00304604,825,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,11,43.42703946,0.88349515,0.9509289,0.90954774,0.0,2.66496658,0.0,8900,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,11,43.42703858,0.88349515,0.9509289,0.90954774,0.53694332,0.13071704,0.00343132,750,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,11,74.67250952,0.88187702,0.95142202,0.90976514,0.0,0.3228991,0.0,1525,SUCCESS
svmguide1,SCS,False,0.1,0.0,Screening,11,74.67250935,0.88187702,0.95142202,0.90976514,0.60374494,0.11120868,0.00309229,750,SUCCESS
svmguide1,SCS,False,0.1,0.05,Baseline,11,84.64389022,0.88834951,0.95163991,0.91232529,0.0,1.0987854,0.0,5250,SUCCESS
svmguide1,SCS,False,0.1,0.05,Screening,11,84.64389037,0.88834951,0.95163991,0.91232529,0.55718623,0.13501859,0.00246072,875,SUCCESS
svmguide1,SCS,False,0.01,0.0,Baseline,12,9.06191229,0.85275081,0.93436927,0.88227684,0.0,0.38381767,0.0,1150,SUCCESS
svmguide1,SCS,False,0.01,0.0,Screening,12,9.06199934,0.85113269,0.93425459,0.8814433,0.48431174,0.05640721,0.00259733,175,SUCCESS
svmguide1,SCS,False,0.01,0.05,Baseline,12,9.8002834,0.84304207,0.93065367,0.87386216,0.0,0.15050602,0.0,600,SUCCESS
svmguide1,SCS,False,0.01,0.05,Screening,12,9.80028341,0.84304207,0.93065367,0.87386216,0.45647773,0.14173889,0.00420904,625,SUCCESS
svmguide1,SCS,False,0.05,0.0,Baseline,12,39.01079927,0.87378641,0.94103211,0.90322581,0.0,1.17839384,0.0,5950,SUCCESS
svmguide1,SCS,False,0.05,0.0,Screening,12,39.01079951,0.87378641,0.94103211,0.90322581,0.57540486,0.14476991,0.00558639,950,SUCCESS
svmguide1,SCS,False,0.05,0.05,Baseline,12,43.76805942,0.86731392,0.94,0.8956743,0.0,0.14362931,0.0,600,SUCCESS
svmguide1,SCS,False,0.05,0.05,Screening,12,43.76811291,0.86731392,0.94012615,0.8956743,0.53441296,0.06836605,0.00421429,125,SUCCESS
svmguide1,SCS,False,0.1,0.0,Baseline,12,74.9598349,0.86731392,0.9418578,0.89800995,0.0,0.44053268,0.0,2075,SUCCESS
